backend,request_batch,miss_rate,n_reads,io_size,queue_depth,round,submit_us,completion_us,bytes_read,correct,direct_path,error,phase,submission_group
Tutti-v0.1.1,1,0.067,137,4096,256,107,260.227,661.734,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,108,257.943,641.644,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,109,259.907,631.133,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,110,265.53,658.545,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,111,273.927,656.289,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,112,271.396,646.299,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,113,256.406,630.971,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,114,261.485,648.499,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,115,275.566,672.278,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,116,256.37,698.328,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,117,263.603,648.86,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,118,251.883,637.958,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,119,253.272,649.001,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,120,259.886,654.782,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,121,252.595,633.044,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,122,271.828,656.987,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,123,257.999,637.083,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,124,256.139,645.424,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,125,263.314,641.56,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,126,278.466,661.137,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,127,265.522,656.013,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,128,257.682,637.555,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,129,267.085,642.029,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,130,267.33,642.241,561152,true,public_local_nvme_gpu,,1,16
